rated,turns,victory_status,winner,increment_code,white_rating,black_rating,opening_name
TRUE,47,resign,black,15+5,1579,2105,Queen's Pawn Game: London System
TRUE,64,mate,black,15+5,1768,1560,French Defense: La Bourdonnais Variation
TRUE,61,resign,white,15+5,1552,1436,Queen's Pawn Game: Mason Attack
TRUE,57,mate,white,15+5,1536,1667,Queen's Pawn Game: London System
TRUE,51,resign,white,15+5,1521,1549,English Opening: Anglo-Lithuanian Variation
TRUE,58,mate,black,15+5,1251,1545,Crab Opening
TRUE,71,resign,white,15+5,1537,1408,Queen's Pawn Game: Mason Attack
TRUE,114,resign,white,15+5,1522,1512,Queen's Pawn
TRUE,39,resign,white,15+5,1602,1532,French Defense: Winawer Variation |  Advance Variation #2
TRUE,20,resign,black,15+5,1543,1593,Queen's Pawn Game: London System
TRUE,48,resign,black,30+0,1556,1539,Queen's Pawn Game: Mason Attack
TRUE,34,mate,black,20+10,1409,1548,French Defense: Knight Variation
TRUE,51,resign,white,20+10,1539,1418,Queen's Pawn Game: London System
TRUE,69,resign,white,20+10,1603,1550,French Defense: Queen's Knight
TRUE,28,resign,white,20+10,1542,1399,Queen's Pawn Game: Steinitz Countergambit
TRUE,62,resign,black,20+10,1546,1877,Queen's Pawn Game: London System
TRUE,62,mate,black,20+10,1134,1535,Queen's Indian Defense
TRUE,85,mate,white,20+10,1513,1784,Horwitz Defense
TRUE,38,resign,white,20+10,1501,1445,Queen's Pawn Game: London System
FALSE,14,resign,white,45+0,1500,1500,Italian Game: Giuoco Pianissimo |  Normal
TRUE,113,draw,draw,15+0,1745,1714,Queen's Gambit Refused: Marshall Defense
TRUE,62,resign,white,15+0,1734,1748,Queen's Gambit Refused: Marshall Defense
TRUE,101,resign,white,10+0,1942,1739,French Defense: Marshall Variation
TRUE,75,outoftime,white,10+0,1724,1855,Scotch Game
TRUE,135,mate,white,10+0,1951,1729,French Defense: Advance Variation |  Main Line
TRUE,81,outoftime,white,10+0,1726,1388,Philidor Defense
TRUE,46,resign,black,10+0,1735,1806,Gruenfeld Defense
TRUE,70,mate,black,10+0,1597,1728,French Defense: Knight Variation
TRUE,39,resign,white,10+0,1743,1738,French Defense: Rubinstein Variation |  Fort Knox Variation
TRUE,91,resign,white,10+0,1721,1750,Queen's Gambit Declined: Traditional Variation
TRUE,137,outoftime,white,10+0,1746,1487,Queen's Gambit Accepted: Old Variation
TRUE,46,resign,black,10+0,1744,1735,French Defense: Advance Variation |  Paulsen Attack
TRUE,18,resign,black,10+0,1749,1631,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5
TRUE,28,resign,black,10+0,1769,1396,Queen's Gambit Accepted: Old Variation
TRUE,40,resign,black,5+8,1795,1760,Yusupov-Rubinstein System
TRUE,111,mate,white,15+0,1729,1795,Queen's Gambit Declined: Queen's Knight Variation
TRUE,54,mate,black,10+0,1795,1784,Ruy Lopez: Classical Variation
TRUE,33,resign,white,10+0,1770,1872,Queen's Pawn Game: Zukertort Variation
TRUE,90,resign,black,10+0,1783,1721,Queen's Pawn Game: London System
TRUE,90,resign,black,10+0,1884,1768,Ruy Lopez: Classical Variation |  Central Variation
TRUE,40,mate,black,10+0,1756,1756,Bishop's Opening: Ponziani Gambit
TRUE,49,outoftime,white,8+0,1724,1958,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order
TRUE,50,resign,black,10+0,2036,1706,King's Indian Attack: French Variation
TRUE,59,mate,white,10+0,1706,925,Queen's Pawn Game: London System
TRUE,26,outoftime,black,15+15,1244,1219,Nimzowitsch Defense: Mikenas Variation
TRUE,23,mate,white,15+15,1215,921,Italian Game
TRUE,118,mate,black,15+15,1350,1201,Alekhine Defense #2
TRUE,66,mate,black,15+15,1210,1280,Sicilian Defense: Nimzowitsch Variation
TRUE,120,draw,draw,15+15,1139,1212,Four Knights Game: Italian Variation
TRUE,36,mate,black,15+15,1220,1341,Italian Game: Two Knights Defense |  Fried Liver Attack
TRUE,26,mate,black,15+15,1234,1359,Italian Game: Anti-Fried Liver Defense
TRUE,62,resign,black,15+15,1275,1236,Italian Game: Two Knights Defense |  Fried Liver Attack
TRUE,37,resign,white,15+15,1433,1282,Alekhine Defense: Maroczy Variation
TRUE,24,resign,black,15+15,1132,1276,Queen's Gambit Refused: Marshall Defense
FALSE,47,resign,white,30+2,1276,1308,Italian Game: Anti-Fried Liver Defense
TRUE,37,resign,black,15+15,1228,1266,Alekhine Defense: Two Pawn Attack |  Lasker Variation
TRUE,24,resign,black,15+15,1273,1409,Caro-Kann Defense: Exchange Variation
TRUE,9,resign,white,15+15,1338,1277,Queen's Pawn Game #2
TRUE,47,mate,white,15+15,1263,1336,Sicilian Defense: Modern Variations |  Main Line
TRUE,85,mate,white,15+15,1316,1273,English Opening: King's English Variation
TRUE,39,mate,white,15+15,1248,1253,Goldsmith Defense
TRUE,58,mate,black,15+15,1335,1233,Nimzo-Indian Defense
TRUE,95,mate,white,15+15,1223,1189,Italian Game: Two Knights Defense |  Fried Liver Attack
TRUE,2,resign,black,15+15,1443,1204,Alekhine Defense
TRUE,97,mate,white,15+15,1227,1216,Queen's Gambit Refused: Marshall Defense
TRUE,12,draw,draw,15+15,1215,1219,Italian Game
TRUE,30,resign,white,15+15,1227,1227,Four Knights Game: Italian Variation
TRUE,43,mate,white,10+0,1550,1225,Bogo-Indian Defense: Exchange Variation
TRUE,11,resign,white,15+15,1325,1234,Alekhine Defense
TRUE,72,mate,black,15+15,1212,1221,Alekhine Defense: Saemisch Attack
TRUE,156,mate,black,15+15,1226,1478,King's Knight Opening
TRUE,18,resign,black,25+0,1228,1626,Queen's Gambit Declined
FALSE,77,mate,white,10+2,1191,1228,French Defense: Classical Variation |  Steinitz Variation
TRUE,32,resign,black,30+0,1422,1210,Alekhine Defense: Two Pawn Attack
TRUE,35,resign,white,15+15,1186,1223,Vienna Game: Vienna Gambit
TRUE,85,mate,white,15+15,1212,1212,Modern Defense
TRUE,50,resign,black,15+15,1228,1343,Scandinavian Defense: Panov Transfer
TRUE,111,resign,white,10+10,1865,1862,Yusupov-Rubinstein System
TRUE,65,outoftime,white,7+2,1852,1852,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
TRUE,73,resign,white,15+0,1833,1863,Benoni Defense
TRUE,125,resign,white,15+0,1851,1918,Sicilian Defense: Hyperaccelerated Dragon
TRUE,76,resign,black,15+0,1861,1844,Italian Game: Anti-Fried Liver Defense
TRUE,65,outoftime,white,10+0,1853,1774,Ruy Lopez: Berlin Defense #2
TRUE,41,mate,white,10+0,1910,1862,Sicilian Defense: Najdorf |  Lipnitsky Attack
TRUE,59,resign,white,10+0,1851,1890,French Defense: Knight Variation
TRUE,70,resign,black,15+5,1860,1840,Sicilian Defense: Delayed Alapin
TRUE,34,resign,white,25+25,1828,1848,Sicilian Defense: Canal-Sokolsky Attack
TRUE,69,outoftime,white,8+0,1855,1858,Amar Opening
TRUE,63,resign,white,10+10,1847,1895,Ruy Lopez: Morphy Defense |  Classical Defense Deferred
TRUE,107,resign,white,10+10,1885,1856,Sicilian Defense
TRUE,58,resign,white,30+0,1847,1802,Queen's Pawn
FALSE,34,resign,black,20+5,1847,1856,Caro-Kann Defense: Two Knights Attack |  Mindeno Variation
TRUE,100,outoftime,black,15+0,1840,1837,Sicilian Defense: Alapin Variation
TRUE,80,resign,black,5+5,1848,1806,Sicilian Defense: French Variation
TRUE,44,resign,black,15+0,1860,1820,French Defense: Knight Variation
TRUE,40,outoftime,black,10+0,1854,1849,Paleface Attack
TRUE,105,outoftime,white,10+0,1895,1859,Sicilian Defense
TRUE,50,resign,black,15+0,1866,1965,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation
FALSE,144,outoftime,draw,10+0,1866,1843,Sicilian Defense
FALSE,81,resign,black,10+0,1835,1866,Caro-Kann Defense: Classical Variation |  Flohr Variation
TRUE,69,resign,black,15+0,1877,1860,Ruy Lopez: Bird Variation
TRUE,77,mate,white,7+8,1849,1874,Sicilian Defense: Najdorf Variation |  Adams Attack
TRUE,158,mate,black,6+6,1835,1865,Blumenfeld Countergambit #2
TRUE,107,draw,draw,15+5,1866,1835,Italian Game: Two Knights Defense |  Modern Bishop's Opening
TRUE,117,mate,white,15+0,1856,1829,Ruy Lopez: Morphy Defense #2
TRUE,44,resign,white,10+0,1845,1846,Ruy Lopez: Morphy Defense |  Classical Defense Deferred
TRUE,40,resign,black,15+0,1834,1835,Sicilian Defense: Old Sicilian
TRUE,59,resign,white,15+5,1846,1845,Caro-Kann Defense
FALSE,110,resign,black,10+0,1845,1917,Queen's Gambit Refused: Marshall Defense
TRUE,30,resign,black,15+0,1858,1790,Scandinavian Defense: Mieses-Kotroc Variation
TRUE,54,resign,black,10+0,1871,1847,Sicilian Defense: Old Sicilian
TRUE,69,resign,black,10+0,1846,1869,Philidor Defense
TRUE,178,mate,black,16+0,1843,1836,Sicilian Defense: Alapin Variation
TRUE,136,resign,black,15+0,1800,1826,Sicilian Defense
FALSE,124,mate,black,8+0,1283,1267,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
TRUE,96,resign,black,10+4,1290,1270,Hungarian Opening
TRUE,53,outoftime,white,12+0,1331,1281,Queen's Pawn Game #3
TRUE,39,mate,white,10+0,1304,1292,Van't Kruijs Opening
TRUE,10,mate,black,10+0,1305,1293,French Defense: Normal Variation
TRUE,51,mate,white,10+0,1308,1317,Center Game: Berger Variation
TRUE,18,resign,black,15+0,1296,1305,Italian Game: Giuoco Piano |  Greco's Attack
FALSE,106,mate,black,30+0,968,1305,Four Knights Game: Italian Variation
FALSE,38,mate,black,15+15,1293,1466,Philidor Defense #3
TRUE,59,mate,white,7+2,1500,1299,Ruy Lopez: Exchange Variation
TRUE,111,mate,white,7+2,1288,1232,Caro-Kann Defense
TRUE,28,resign,black,7+2,1289,2108,Ruy Lopez: Morphy Defense |  Tarrasch Variation
FALSE,101,outoftime,white,7+2,1431,1289,Center Game: Normal Variation
FALSE,15,mate,white,7+2,1806,1289,Scotch Game
FALSE,42,resign,white,7+2,1289,1311,Philidor Defense #3
FALSE,118,resign,black,7+2,1431,1289,Englund Gambit Declined |  Reversed French
FALSE,34,resign,black,7+2,1289,1484,Giuoco Piano
FALSE,60,resign,black,7+2,1289,1810,Sicilian Defense: Hyperaccelerated Fianchetto
FALSE,66,resign,black,7+2,1806,1289,Scotch Game
FALSE,21,outoftime,white,5+8,1289,1500,Philidor Defense #3
TRUE,73,mate,white,15+1,1409,1297,Ruy Lopez: Morphy Defense |  Caro Variation
TRUE,159,mate,white,15+1,1280,1485,Italian Game: Anti-Fried Liver Defense
FALSE,74,resign,white,15+0,1280,1211,Scandinavian Defense: Mieses-Kotroc Variation
FALSE,28,mate,black,15+0,1211,1280,Crab Opening
TRUE,112,mate,black,10+0,1281,1765,Philidor Defense #4
TRUE,104,resign,black,15+1,1288,1454,Petrov's Defense
TRUE,40,mate,black,15+1,1560,1270,Queen's Gambit Refused: Chigorin Defense #2
TRUE,44,mate,black,15+1,1274,1534,Sicilian Defense: Jalalabad Variation
TRUE,150,draw,draw,15+1,1259,1663,Italian Game: Anti-Fried Liver Defense
TRUE,60,mate,black,10+0,1614,1238,Queen's Pawn Game: London System
TRUE,37,mate,white,10+0,1221,1417,French Defense: Advance Variation |  Milner-Barry Gambit
TRUE,88,outoftime,black,10+0,1222,1732,Sicilian Defense: Open #3
TRUE,113,mate,white,10+0,1232,1234,Ruy Lopez: Exchange Variation
TRUE,55,mate,white,20+5,1240,1219,Russian Game: Damiano Variation |  Kholmov Gambit
TRUE,135,mate,white,10+0,1590,1600,English Opening: Carls-Bremen System
TRUE,137,draw,draw,10+0,1568,1617,Italian Game
TRUE,97,outoftime,white,10+0,1500,1358,Four Knights Game
FALSE,33,resign,black,10+2,1384,1325,Pirc Defense #4
FALSE,29,resign,black,30+0,1384,1265,Zukertort Opening: Old Indian Attack
FALSE,55,resign,black,2+10,1384,1950,Zukertort Opening: Sicilian Invitation
TRUE,91,resign,white,20+10,1377,1249,Scandinavian Defense: Mieses-Kotroc Variation
TRUE,53,resign,white,9+0,1375,1389,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit
TRUE,49,mate,white,10+2,1378,1361,Philidor Defense
TRUE,48,mate,black,10+2,1261,1371,King's Pawn Game: Maroczy Defense
TRUE,20,resign,black,10+9,1380,1429,Sicilian Defense: Old Sicilian
TRUE,87,mate,white,10+0,1369,1368,Russian Game: Damiano Variation
TRUE,11,resign,white,10+0,1290,1371,Ruy Lopez: Morphy Defense |  Mackenzie Variation
TRUE,110,draw,draw,15+3,1372,1326,St. George Defense
TRUE,24,resign,white,6+7,1361,1383,Van't Kruijs Opening
TRUE,23,resign,white,15+15,1217,1399,English Opening: King's English Variation |  Two Knights Variation
TRUE,81,mate,white,15+30,1387,1447,Ruy Lopez
FALSE,34,resign,black,20+0,1474,1387,Scandinavian Defense
TRUE,103,mate,white,15+2,1377,1351,Philidor Defense #2
TRUE,29,resign,black,30+10,1389,1339,King's Pawn Game: McConnell Defense
FALSE,22,resign,black,30+15,1389,1400,Philidor Defense #2
FALSE,38,resign,white,10+0,1849,1389,Scotch Game
TRUE,46,mate,black,8+0,1395,1378,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation
TRUE,23,outoftime,white,5+5,1370,1257,Ruy Lopez: Bird Variation
TRUE,31,resign,white,10+3,1360,1332,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted
FALSE,51,resign,white,10+0,1311,1360,King's Pawn Game: Beyer Gambit
FALSE,87,mate,white,20+0,1714,1360,Ruy Lopez: Classical Variation
TRUE,31,mate,white,45+30,1354,1217,Italian Game
TRUE,38,resign,black,15+15,1245,1346,Queen's Gambit Accepted: Old Variation
FALSE,43,resign,white,10+4,1346,1099,Italian Game: Anti-Fried Liver Defense
TRUE,105,resign,white,9+2,1336,1287,King's Indian Attack: Keres Variation #2
FALSE,87,outoftime,white,10+0,1580,1555,English Opening: Anglo-Scandinavian Defense
FALSE,36,mate,black,10+0,1555,1580,Sicilian Defense: Marshall Counterattack
TRUE,38,resign,black,6+6,1649,1547,French Defense: Advance Variation #4
TRUE,110,resign,black,8+0,1426,1527,French Defense: Knight Variation
TRUE,48,resign,black,15+0,1557,1547,Ruy Lopez: Morphy Defense |  Caro Variation
FALSE,95,mate,white,5+8,1557,1607,Nimzo-Indian Defense #2
FALSE,70,mate,black,5+8,1607,1557,Bird Opening
FALSE,42,resign,white,10+0,1557,1632,Sicilian Defense: Open #3
TRUE,177,outoftime,white,10+3,1535,1609,Italian Game: Two Knights Defense |  Polerio Defense |  Bishop Check Line
TRUE,114,mate,black,10+2,1713,1558,Hungarian Opening: Indian Defense
TRUE,57,resign,white,10+2,1497,1730,Owen Defense
TRUE,57,resign,white,7+3,1437,1552,Italian Game
FALSE,82,draw,draw,10+0,1516,1552,Bird Opening
TRUE,29,mate,white,7+3,1513,1456,Sicilian Defense
TRUE,70,resign,black,10+0,1355,1478,Italian Game: Two Knights Defense |  Modern Bishop's Opening
TRUE,97,mate,white,10+0,1638,1614,Italian Game: Anti-Fried Liver Defense
TRUE,99,resign,white,6+5,1613,1934,Caro-Kann Defense: Maroczy Variation |  Maroczy Gambit
FALSE,74,resign,black,10+0,1865,1613,Queen's Pawn Game: Torre Attack
TRUE,48,mate,black,8+0,1776,1587,Queen's Pawn Game
TRUE,77,mate,white,15+0,1568,1593,French Defense: Marshall Variation
TRUE,80,resign,black,15+0,1605,1546,Scandinavian Defense: Icelandic-Palme Gambit
TRUE,35,resign,white,8+0,1518,1709,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted
TRUE,33,resign,white,10+0,1728,1527,Semi-Slav Defense: Noteboom Variation
TRUE,87,mate,white,10+0,1515,1379,Scandinavian Defense: Mieses-Kotroc Variation
TRUE,40,resign,black,10+0,1538,1501,Robatsch (Modern) Defense
TRUE,54,resign,black,10+0,1511,1516,Queen's Gambit Declined
TRUE,67,resign,black,10+0,1464,1495,Ruy Lopez: Exchange Variation |  Normal Variation
TRUE,21,mate,white,10+0,1470,1475,King's Pawn Game: Damiano Defense
TRUE,14,mate,black,10+0,1490,1440,Italian Game: Schilling-Kostic Gambit
FALSE,71,resign,white,15+15,1611,1974,Queen's Gambit Declined: Semi-Tarrasch |  San Sebastian Variation
TRUE,72,outoftime,black,10+0,1611,1945,Nimzo-Indian Defense: Ragozin Variation
TRUE,62,resign,black,10+0,1584,1611,English Opening: Symmetrical Variation |  Anti-Benoni Variation
TRUE,48,resign,black,10+0,1942,1611,Van't Kruijs Opening
TRUE,6,outoftime,black,10+2,1217,1611,Four Knights Game
TRUE,69,draw,draw,20+0,1611,2059,Semi-Slav Defense: Chigorin Defense
TRUE,72,resign,white,15+15,1611,1478,Sicilian Defense: Quinteros Variation
TRUE,40,mate,black,15+15,1486,1552,King's Pawn Game: Dresden Opening
TRUE,29,mate,white,15+15,1453,1496,Modern Defense
TRUE,44,resign,white,15+15,1340,1326,English Defense #2
TRUE,59,mate,white,10+0,1532,1500,French Defense: Steinitz Attack
TRUE,115,resign,white,10+0,1560,1557,King's Gambit Accepted |  Fischer Defense
TRUE,70,resign,black,10+0,1571,1577,Bird Opening: Dutch Variation
TRUE,36,resign,black,10+0,1580,1617,Bird Opening
TRUE,83,resign,white,10+0,1531,1593,Four Knights Game: Gunsberg Variation
TRUE,99,draw,draw,10+0,1449,1597,Four Knights Game: Ranken Variation
TRUE,43,resign,white,10+0,1743,1604,King's Gambit Accepted |  Schallopp Defense
TRUE,89,resign,white,10+0,1604,1614,Four Knights Game: Spanish Variation |  Classical Variation
TRUE,96,resign,black,10+0,1550,1605,Queen's Pawn Game: Mason Attack
FALSE,116,mate,black,10+0,1630,1605,Petrov's Defense #5
FALSE,78,mate,black,15+0,1475,1605,Hungarian Opening
FALSE,77,mate,white,15+0,1605,1475,Bird Opening
FALSE,70,mate,black,15+0,1475,1605,King's Pawn Opening: 2.b3
FALSE,27,resign,white,10+0,1570,1605,Russian Game: Cochrane Gambit
FALSE,102,resign,black,10+0,1605,1500,Bird Opening
FALSE,21,resign,white,10+0,1500,1605,Four Knights Game: Italian Variation |  Noa Gambit
FALSE,33,resign,white,10+0,1605,1500,Bird Opening
FALSE,74,resign,black,10+0,1513,1605,Russian Game: Urusov Gambit
TRUE,65,resign,white,25+5,1790,1874,Polish Opening
TRUE,81,resign,white,25+5,1864,1805,Sicilian Defense: Closed Variation |  Fianchetto Variation
TRUE,45,resign,black,25+5,1496,1861,Indian Game: Tartakower Attack
TRUE,52,resign,white,25+5,1851,1853,Ruy Lopez: Berlin Defense |  Rio Gambit Accepted
TRUE,51,resign,white,10+0,1861,1863,Caro-Kann Defense
TRUE,48,draw,draw,10+0,1618,1609,French Defense: Knight Variation
TRUE,20,resign,black,10+0,1620,1607,Van't Kruijs Opening
TRUE,50,mate,black,10+0,1621,1496,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
TRUE,98,resign,black,10+0,1633,1581,Philidor Defense #3
TRUE,106,mate,black,10+0,1623,1623,Ruy Lopez: Cozio Defense
TRUE,19,resign,white,10+0,1612,1614,Italian Game
TRUE,22,resign,white,10+0,1605,1624,Italian Game: Giuoco Pianissimo |  Normal
TRUE,114,draw,draw,10+0,1693,1621,Indian Game: West Indian Defense
TRUE,69,resign,black,10+0,1631,1684,Sicilian Defense
TRUE,34,mate,black,10+0,1636,1619,Italian Game: Classical Variation |  Closed Variation
TRUE,40,mate,black,10+0,1613,1617,Italian Game: Two Knights Defense |  Traxler Counterattack
TRUE,108,resign,black,10+0,1627,1495,Italian Game: Hungarian Defense
TRUE,27,resign,white,10+0,1480,1643,Bishop's Opening
TRUE,63,resign,white,10+0,1631,1652,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
TRUE,31,resign,white,10+0,1687,1641,Ponziani Opening
TRUE,71,resign,white,10+0,1630,1638,Italian Game: Anti-Fried Liver Defense
TRUE,92,mate,black,10+0,1414,1624,Ruy Lopez: Cozio Defense
TRUE,47,mate,white,10+0,1619,1419,Italian Game: Two Knights Defense |  Knight Attack
TRUE,56,resign,black,10+0,1629,1659,Petrov's Defense #2
TRUE,48,resign,white,10+0,1649,1639,Bishop's Opening
TRUE,124,resign,black,10+0,1677,1627,Polish Opening
TRUE,49,mate,white,10+0,1705,1636,Scotch Game: Classical Variation
TRUE,64,resign,black,10+0,1647,1635,Sicilian Defense: Najdorf Variation
TRUE,29,resign,white,10+0,1637,1627,Italian Game: Classical Variation #2
TRUE,45,resign,white,10+0,1626,1631,Italian Game
TRUE,96,resign,black,10+0,1602,1615,King's Gambit Accepted |  Fischer Defense
TRUE,92,resign,black,10+0,1634,1603,Bishop's Opening
TRUE,40,mate,black,10+0,1611,1591,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation
TRUE,123,mate,white,10+0,1579,1623,Italian Game: Giuoco Piano |  Aitken Variation
TRUE,129,mate,white,10+0,1995,1581,King's Indian Attack: Symmetrical Defense
TRUE,120,mate,black,10+0,1589,1569,Gruenfeld Defense: Three Knights Variation |  Hungarian Attack
TRUE,71,draw,draw,10+0,1570,1555,Italian Game: Anti-Fried Liver Defense
TRUE,97,mate,white,10+0,1559,1557,French Defense: Knight Variation
TRUE,60,resign,white,10+0,1546,1571,Indian Game
TRUE,57,resign,white,10+0,1550,1567,Sicilian Defense: Smith-Morra Gambit Declined |  Push Variation
TRUE,38,resign,white,5+7,1560,1419,Caro-Kann Defense: Advance Variation
TRUE,111,resign,white,8+0,1840,1564,Scotch Game: Haxo Gambit
TRUE,119,resign,black,10+0,1660,1549,East Indian Defense
TRUE,33,mate,white,10+0,1534,1678,Philidor Defense
