rated,turns,victory_status,winner,increment_code,white_rating,black_rating,opening_name
FALSE,13,outoftime,white,15+2,1500,1191,Slav Defense: Exchange Variation
TRUE,16,resign,black,5+10,1322,1261,Nimzowitsch Defense: Kennedy Variation
TRUE,61,mate,white,5+10,1496,1500,King's Pawn Game: Leonardis Variation
TRUE,61,mate,white,20+0,1439,1454,Queen's Pawn Game: Zukertort Variation
TRUE,95,mate,white,30+3,1523,1469,Philidor Defense
FALSE,5,draw,draw,10+0,1250,1002,Sicilian Defense: Mongoose Variation
TRUE,33,resign,white,10+0,1520,1423,Blackmar-Diemer Gambit: Pietrowsky Defense
FALSE,9,resign,black,15+30,1413,2108,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation
TRUE,66,resign,black,15+0,1439,1392,Italian Game: Schilling-Kostic Gambit
TRUE,119,mate,white,10+0,1381,1209,Scandinavian Defense: Mieses-Kotroc Variation
FALSE,39,mate,white,20+60,1381,1272,Van't Kruijs Opening
FALSE,38,resign,black,20+60,1381,1867,French Defense: Advance Variation |  Paulsen Attack
FALSE,60,resign,black,5+40,1381,1936,French Defense: Knight Variation
FALSE,31,resign,black,8+0,1381,1607,French Defense #2
FALSE,31,mate,white,15+15,1094,1141,Four Knights Game: Italian Variation
FALSE,43,resign,black,15+15,1141,1094,Italian Game: Two Knights Defense |  Knight Attack
FALSE,52,resign,black,15+15,1094,1141,Four Knights Game: Italian Variation
FALSE,66,mate,black,15+16,1141,1094,Four Knights Game: Italian Variation
FALSE,101,resign,black,15+15,1094,1300,Philidor Defense #3
FALSE,25,resign,white,11+0,1500,1094,Queen's Pawn Game
FALSE,14,resign,black,15+15,1094,1676,Italian Game: Anti-Fried Liver Defense
FALSE,3,resign,white,30+60,1094,1068,Horwitz Defense
FALSE,17,resign,white,15+5,1500,1094,Sicilian Defense: Bowdler Attack
TRUE,36,resign,white,10+0,1307,1106,English Opening: King's English Variation |  Reversed Closed Sicilian
TRUE,13,resign,black,10+0,1113,1423,Sicilian Defense: Smith-Morra Gambit #2
TRUE,69,mate,white,10+10,1078,1219,Queen's Pawn Game: Chigorin Variation
TRUE,43,resign,white,10+10,1825,1079,Scotch Game: Haxo Gambit
TRUE,54,mate,black,10+10,1328,1038,Queen's Pawn Game: Chigorin Variation
TRUE,53,resign,black,10+10,1056,1156,Slav Defense
TRUE,66,mate,black,10+10,1077,1148,Queen's Gambit Refused: Marshall Defense
TRUE,64,resign,black,10+10,1358,1036,Sicilian Defense: Smith-Morra Gambit #2
TRUE,64,mate,black,10+10,1200,1002,Sicilian Defense: Canal Attack |  Main Line
TRUE,54,resign,white,10+10,1203,1019,Sicilian Defense
FALSE,21,resign,black,15+3,1019,1500,Queen's Gambit Accepted: Central Variation |  Greco Variation
FALSE,11,resign,white,18+0,1422,975,Sicilian Defense: Bowdler Attack
TRUE,19,resign,black,10+0,976,1832,Robatsch (Modern) Defense
TRUE,28,resign,white,10+0,1569,978,Blackmar-Diemer Gambit: Tartakower Variation
FALSE,22,resign,black,15+0,978,1500,Indian Game
FALSE,37,resign,white,15+0,1500,978,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line
FALSE,34,resign,white,30+30,2449,978,English Opening: King's English Variation |  Reversed Sicilian
FALSE,32,draw,draw,20+25,1207,978,Sicilian Defense: Dragon Variation
FALSE,71,resign,black,5+5,1241,978,Sicilian Defense: Closed Variation
FALSE,30,resign,white,30+0,1500,978,Sicilian Defense: Smith-Morra Gambit #2
FALSE,66,resign,white,40+40,2443,978,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line
FALSE,41,resign,white,20+0,1500,978,Sicilian Defense: Smith-Morra Gambit #2
FALSE,49,resign,white,15+0,1500,978,Sicilian Defense: Bowdler Attack
FALSE,3,resign,black,15+0,978,1500,Scandinavian Defense
FALSE,7,resign,white,10+0,1343,978,Sicilian Defense: Bowdler Attack
FALSE,35,mate,white,40+40,2436,978,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line
FALSE,41,mate,white,40+40,2436,978,Scandinavian Defense: Mieses-Kotroc Variation
FALSE,5,resign,black,10+0,978,1500,French Defense: Normal Variation
FALSE,7,resign,white,10+0,1500,978,King's Pawn Game: Beyer Gambit
FALSE,53,mate,white,10+0,978,1500,Dutch Defense
FALSE,36,resign,black,10+0,1500,978,English Opening: King's English Variation
TRUE,8,resign,white,16+0,1521,1162,Zukertort Opening: Ross Gambit
TRUE,3,resign,white,6+10,1407,1500,Sicilian Defense: Closed Variation
TRUE,28,resign,white,10+0,1492,1458,Vienna Game: Mengarini Variation
TRUE,30,resign,black,10+0,1414,1442,Philidor Defense: Larsen Variation
TRUE,44,resign,black,10+0,1457,1294,Scotch Game
TRUE,29,resign,white,10+0,1525,1466,Philidor Defense: Lopez Countergambit
TRUE,37,resign,black,8+10,1207,1579,French Defense: Knight Variation
TRUE,49,resign,white,8+12,1567,1573,Modern Defense
TRUE,32,resign,black,8+12,1578,1605,Horwitz Defense
TRUE,25,resign,white,8+12,1939,1581,Blumenfeld Countergambit #2
TRUE,40,mate,black,5+10,1618,1568,French Defense #2
TRUE,39,resign,white,7+12,1755,1574,Zukertort Opening: Kingside Fianchetto
TRUE,57,resign,white,15+10,1561,1596,Indian Game
TRUE,78,resign,black,5+40,1500,1554,French Defense: Queen's Knight
TRUE,61,resign,white,15+5,1544,1461,Queen's Pawn Game: Mason Attack
TRUE,44,resign,black,20+5,1563,1335,Queen's Pawn Game: Mason Attack
TRUE,62,mate,black,20+5,1579,1470,Queen's Pawn
TRUE,87,mate,white,20+5,1617,1590,Indian Game
TRUE,54,mate,black,20+5,1207,1588,French Defense: Advance |  Steinitz Variation
TRUE,54,resign,black,15+5,1595,1547,Queen's Pawn Game: Mason Attack
TRUE,37,resign,white,15+5,1855,1599,French Defense: Exchange Variation
TRUE,50,resign,white,15+5,1589,1547,Horwitz Defense
TRUE,131,resign,white,30+0,1571,1728,Queen's Pawn Game: London System
TRUE,48,resign,white,30+0,1720,1579,French Defense: Chigorin Variation
