Symbol,S1.WT.1,S5.WT.2,S2.BlimpKO.1,S6.BlimpKO.2,S3.TbetKO.1,S7.TbetKO.2,S4.DKO.1,S8.DKO.2
Slc39a10,2.567394559,2.42442976,2.138605826,2.45647856,2.263458563,2.40362862,1.811745635,2.125276121
Nabp1,6.44974521,6.31702725,5.660164606,5.430713843,5.787367401,5.29793424,5.388846334,5.153403016
Gm17767,-0.115105782,0.206379377,-0.215928359,-1.117721024,-0.558320658,-0.713393031,-1.200991223,-1.120158046
Myo1b,-4.410108032,-5.638838484,-3.395619939,-3.256615134,-6.464502377,-5.859530327,-3.469133285,-2.105316081
Stat4,6.782011996,6.739479817,6.739479817,6.67682912,6.490305357,6.523669013,6.569354324,6.763652497
Gm3940,1.050818161,0.972352029,0.836515483,1.159052539,0.048487094,0.425171541,-0.707365513,-0.939236732
Stat1,6.885220705,6.838005687,7.011394747,7.320217877,7.907536919,7.721131296,7.856072383,7.470310613
Gls,5.236143397,5.198602576,5.278085192,5.291945306,5.332765159,5.092503211,5.27656843,5.204199331
Nab1,5.456581578,5.674029306,5.637466079,5.460050096,5.142001694,5.160139255,5.320206508,5.234267523
Tmem194b,4.281958848,4.109443563,4.238755978,4.189829764,4.371111157,3.908486233,4.351587173,4.079671319
Mfsd6,3.342698253,3.376265066,3.507238123,3.590651827,3.326454687,3.535906689,3.112143116,3.290027033
Inpp1,5.330619471,5.291406721,5.182499568,5.181842733,5.028160577,5.046709804,4.949087271,4.757810934
Hibch,3.59197069,3.665789009,3.821750155,3.631616206,3.316027123,3.593542485,3.467595852,3.780702793
1700019D03Rik,0.007962489,-0.900528977,2.530189431,1.481620043,0.617824108,1.215805958,2.961266748,3.166971496
Pms1,2.66798335,2.534337302,2.542946898,2.193319046,2.388656412,2.430061237,2.61344861,2.623865184
Ormdl1,4.881466738,4.945987583,4.770636814,4.802718789,4.698497024,4.723924453,4.898329789,4.974158189
Osgepl1,1.830843526,1.626115037,2.145430603,1.961026706,1.535494901,1.661387648,2.235025519,2.032124988
Asnsd1,5.113763625,5.194073102,5.311715799,5.197055864,5.081782683,5.191320287,5.436411615,5.519510171
Stk17b,7.433731182,7.451369358,7.203553635,7.292894177,7.518024895,7.541452494,7.275183779,7.259191194
Hecw2,-5.098909838,-4.665249447,-4.028067512,-5.652973273,-5.055495661,-4.419017486,-2.768909134,-2.860288585
Gtf3c3,2.098577719,2.082940582,1.849189284,1.796505593,1.17129989,2.191514011,1.697899966,1.72811728
NA,1.70645357,1.6384932,1.862406422,2.239879737,2.43166793,1.86261563,2.45575032,2.143286368
Pgap1,2.20090205,1.967644449,2.217405704,2.509099691,2.988400725,2.138237205,2.580750645,2.044264388
Ankrd44,6.462043227,6.354276328,6.032207612,6.110355992,6.182863887,6.139519408,5.895267969,5.747723268
Sf3b1,6.678928703,6.541671709,6.862882423,6.750036919,7.139644456,6.531080148,7.18051794,6.665630929
Coq10b,3.249684052,3.302555167,2.805472262,3.163193382,3.045666663,2.866518881,2.92777652,2.920522108
Hspd1,4.622580412,4.722878649,4.814346309,4.987158044,4.805069456,4.82043794,4.5339691,5.039899971
Hspe1,6.264441079,6.581214209,6.4732933,6.390060915,6.301702432,6.461992937,6.207912066,6.691532562
Mob4,4.358599885,4.321632162,4.086843841,4.062073359,4.245507252,4.280779464,4.055092147,3.9576405
Rftn2,0.094695194,-0.535874611,-0.868806313,0.50048136,-0.408529375,0.104067177,-1.512564486,-0.820417078
Mars2,2.989617679,2.772834114,2.62914364,2.676149892,2.846071613,2.723697324,2.604876732,2.209688244
Boll,-1.466269089,-0.894180489,-1.918183279,-0.569676676,0.024811475,0.22786814,-2.949754769,-2.964791548
Plcl1,0.447622098,0.676138532,0.827808258,0.29894294,1.435283146,1.339230609,1.570546794,1.185346935
1700066M21Rik,2.408465339,2.237466414,1.885208492,1.673670193,2.291258204,1.958085733,1.990097723,1.612755564
Tyw5,2.644828861,2.340566494,2.399488147,1.783513969,2.145576221,1.976965122,2.181973565,1.8692476
9430016H08Rik,3.57162174,3.549501846,3.575694854,3.171837962,3.347440223,3.707303926,3.282875052,3.476935945
Spats2l,-4.685987656,-3.353685798,-3.15127687,-3.3147087,-1.787459665,-2.476124985,-2.932317431,-6.116519949
Kctd18,2.878468161,2.587924188,2.832467717,2.504002938,2.666473505,2.588288424,2.802612467,2.575782016
Sgol2a,0.706262558,0.98064954,1.016583104,0.98788085,1.024512961,0.710309562,0.958159184,0.785828108
Bzw1,6.431838584,6.536395194,6.432560904,6.459185997,6.308610537,6.459185997,6.231852499,6.467895429
Clk1,5.829227518,5.262782238,5.998756423,5.616506091,6.338141103,5.360126679,6.231810696,5.586349633
Ppil3,4.294796287,4.274654851,4.053422822,3.843003023,3.776406364,3.889578245,3.822273356,3.980082087
Nif3l1,3.37292072,3.360894111,3.062412412,2.807595577,3.103299301,3.439461519,2.988397772,3.182600894
Orc2,3.569457728,3.624811765,3.570447333,3.738127416,3.676280337,3.478624552,3.5583913,3.720956312
Fam126b,1.903642174,1.764345261,1.541569851,1.677471327,1.93027065,1.557528184,1.491116912,1.218953477
Ndufb3,5.921191863,5.927625337,5.769214535,5.593469513,5.420455905,5.559310038,5.246638672,5.637403901
Cbx3-ps7,5.122157316,5.346601965,5.200592406,5.070774485,4.99957804,5.148149159,4.934241452,5.187687376
Gm20257,1.997961049,1.866832259,1.652748665,1.13325716,2.042503765,1.830651015,1.587338744,0.883618376
Cflar,4.639896472,4.594596833,4.081496261,4.298353476,4.644698973,4.358852742,4.160880598,4.002572157
Casp8,5.571472624,5.43801323,5.34580469,5.38276833,5.538280002,5.443170347,5.313076493,5.341643338
Trak2,4.663323267,4.623243835,4.62135788,4.534979445,4.46336349,4.456786288,4.328060853,4.2091733
Stradb,3.214723244,3.03335917,2.835868248,2.946330451,2.818333465,2.97713501,2.744425188,2.792907228
Tmem237,2.468308361,2.518019158,2.551619319,2.295391033,1.998812099,2.203813936,2.372904445,2.68189098
Als2,2.518842213,2.51278297,2.269603385,2.471642177,2.633210469,2.66373949,2.59704123,2.318441436
Fzd7,-1.860059593,-0.83479917,-1.929540735,-2.623692632,-1.566973575,-2.317581169,-2.594404034,-1.449203444
Sumo1,5.815440187,5.899088042,5.860629041,5.766517628,5.713724807,5.761883657,5.657806095,5.847065783
Nop58,4.980061998,5.06369752,5.330262355,5.464700685,5.47976007,5.310439694,5.283196893,5.434928453
Bmpr2,0.236721527,0.581337247,-0.508010405,-0.185134167,0.361930297,0.642004564,0.207529656,0.048192679
NA,1.038662657,1.028051545,0.609539715,0.74854452,0.118507633,0.118507633,0.536026369,-0.478969979
Fam117b,4.61078234,4.682890106,4.613367806,4.683404546,4.504858613,4.716225948,4.790345919,4.890569954
Ica1l,-2.659439529,-1.71856349,-0.8581736,-1.511953067,-1.919740707,-2.653621706,0.060313205,0.199665293
Wdr12,1.515960395,1.515960395,1.73002536,1.643092607,1.67203655,1.800806129,1.894325159,2.245307085
Carf,0.776372556,0.754329038,0.754329038,0.855985124,0.680123974,0.626362125,1.224018628,0.849063265
Nbeal1,1.098792758,0.689211998,0.725585495,1.098631166,1.123608924,0.94605226,1.050348754,0.435718142
Cyp20a1,3.613326414,3.58968274,3.528631574,3.140694732,3.888566514,3.733670033,3.76772516,3.65059721
Abi2,2.577312845,2.39495701,2.25887943,2.439433234,2.372866131,2.256450579,2.349889214,2.381274258
Raph1,2.942020498,2.686682532,2.594644351,2.333297137,1.31894478,1.529246218,1.695430798,1.015104759
Gm20309,2.635174359,2.68803012,2.070134202,2.134895226,0.304200045,1.264348474,1.781581168,1.700623272
Cd28,6.316653272,6.285562435,6.729355751,6.752859246,5.806728364,6.005325974,6.426253533,6.443079034
Gm11579,1.868080018,1.316558035,1.67391451,0.804288858,1.201776267,0.596228505,0.840067084,0.284753339
Ctla4,3.976506695,3.844435281,4.992352101,4.337459527,5.176597501,4.988042413,4.858985549,4.859564833
Icos,5.237279625,5.354270602,5.869956456,5.518288024,6.00496129,6.052149787,6.481216045,6.644714761
Pard3b,-3.023835409,-2.510014616,-2.035990928,-2.035990928,-2.264803208,-2.639258842,-2.903276137,-2.297683122
Nrp2,-0.209553943,-0.427553536,-1.206173471,-0.32790318,-0.348187642,-0.551188496,-1.023612665,-0.97214364
Ino80d,3.574058204,3.458127933,3.318414763,3.544820894,3.613433338,3.174181179,3.546054085,3.230571168
Ino80dos,0.933809171,0.207003622,0.400014893,0.561642126,0.756576261,-0.4381914,0.415484076,-0.61632062
Gm20342,1.333184334,-0.362573023,-0.104505941,-0.150940925,-0.591279316,-0.528347359,0.151684098,-0.528347359
Ndufs1,4.835824106,4.836727473,4.879556503,4.895319425,4.82098401,4.794556195,4.871258222,4.768716353
Eef1b2,7.957958899,8.163276732,8.439523678,8.537579684,8.350516161,8.542446257,8.409848053,8.931101208
Adam23,-0.693314979,-1.167943468,-0.949672635,0.209071806,-1.069936744,-0.875933578,0.378019022,0.46046725
Fastkd2,2.080674807,2.098946683,2.21936974,2.15470914,2.275039735,2.006647606,2.327165181,2.115847955
Klf7,3.279311144,3.210679884,3.188689826,3.192428283,2.955019893,3.075885223,2.99942324,2.796522709
Creb1,4.585390325,4.534326455,4.356640628,4.621730573,4.400232426,4.381908706,4.280315943,4.292082413
Mettl21a,3.057066161,3.081834594,2.940601696,2.738218598,2.900085417,3.001532195,2.907256011,3.115906774
2810408I11Rik,0.737306927,1.04702608,0.159358911,0.130070312,-0.139170452,0.979587174,0.505073958,0.598026654
Ccnyl1,1.136383482,0.82958779,1.008445698,0.902819249,0.788359354,0.883643857,0.958673269,0.204772773
Fzd5,2.555898115,2.339720382,1.698199055,1.72219737,1.177800832,1.750657327,0.88186437,0.935100839
Plekhm3,2.308841709,2.336542209,2.212449321,2.626349937,2.224962501,2.260570747,2.185121427,1.937206233
Idh1,2.71157178,3.040784787,2.160279405,2.354161407,2.703228039,2.744632865,2.417481417,2.293204164
Pikfyve,2.032435913,1.830416185,1.9295528,2.10506663,2.650694708,2.15103527,2.491234406,2.301407194
Map2,-1.905668205,-2.238944638,-1.973107111,-2.419488998,0.050883557,0.249207152,0.568664379,-0.252956464
Rpe,4.576471605,4.625753708,4.458355986,4.51611257,4.464743719,4.390496297,4.492988747,4.515232984
Kansl1l,1.697218236,1.301813474,1.161300804,1.441012461,1.936641359,1.618129061,1.370349276,1.025237658
Acadl,6.041781739,6.177351018,6.205664563,6.154227813,6.518886829,6.378859773,6.410027284,6.390406037
Lancl1,2.773839648,2.886987994,2.976146106,3.006678339,2.755262363,2.730084065,3.120351152,3.253088495
Ikzf2,1.446890242,1.125098554,2.34166911,2.533134507,2.116195858,1.928809447,3.213849837,2.717814559
Bard1,1.480474024,1.47940394,1.133175587,1.304182737,1.576386503,1.500996143,1.308283071,1.306633257
Atic,5.190420986,5.434729409,5.583579888,5.636206069,5.341729677,5.421624758,5.615777617,5.768526195
Fn1,0.60380697,1.644979705,0.983693966,2.657002575,0.859172816,2.244561094,1.266737138,1.851909136
Mreg,-1.177671028,-1.092159254,-0.085756154,0.578592007,-0.619119531,-0.826321727,-0.03409472,0.461201287
Pecr,0.893526552,0.973635322,1.444776164,1.184180349,1.223895792,1.469878115,1.508091509,1.437658013
Xrcc5,3.761840651,3.822749156,4.160210454,4.147752322,3.77797391,4.01762853,4.078519582,4.323264439
Smarcal1,2.363466635,2.298370538,2.488990457,2.581472959,2.456359887,2.328761884,2.609941143,2.505873954
Rpl37a,6.061984358,6.333827205,6.024038023,6.482954553,6.110731372,6.404134081,5.773272126,6.496685718
Tns1,0.774814065,0.922569,0.912692551,1.185801393,0.978632904,1.360699637,1.047415161,0.978632904
Cxcr2,-3.201564414,-0.06948207,-0.775527285,1.77837625,0.566673394,2.903052505,0.148701185,1.786792914
Arpc2,8.959733919,9.063778002,9.060552225,9.005956041,8.940381691,8.990908064,8.877034817,9.063778002
Aamp,6.131137093,6.111810449,6.072440991,5.97680736,6.073122209,6.144372323,6.089276165,6.124616019
Pnkd,1.307192234,1.398301877,1.896231401,1.271565311,1.271565311,0.680698899,2.560021266,3.212792192
Tmbim1,2.61742923,2.835687534,2.478674537,2.164842055,2.281929606,2.578005729,2.569213298,2.542641267
Slc11a1,0.708261041,1.582966278,0.293504126,0.777526064,0.930078992,1.228925886,0.592165888,1.050495463
Ctdsp1,6.694876694,6.752938405,6.445296553,6.520689746,6.445296553,6.677663105,6.276031493,6.426628023
Usp37,2.849797479,2.822168746,2.597709396,2.90625941,2.79425669,2.772894153,2.58317114,2.752026178
Rqcd1,4.471510078,4.539602784,4.618215251,4.369759122,4.346119435,4.451969114,4.486666444,4.630365725
Plcd4,-1.501796503,-1.416284729,-2.334201387,-2.427733599,-3.19466426,-3.19466426,-2.016389656,-2.74069508
Zfp142,2.6939463,2.571672399,2.469349445,2.493849177,2.612092834,2.5090223,2.350724173,2.4613073
Bcs1l,2.376376522,2.445575842,2.251174454,2.372758503,2.028666422,2.333065729,2.044652048,2.391419685
Rnf25,3.865544682,3.656190563,3.558289439,3.72242762,3.646998622,3.867065311,3.734932523,3.611829315
