Symbol,S1.WT.1,S5.WT.2,S2.BlimpKO.1,S6.BlimpKO.2,S3.TbetKO.1,S7.TbetKO.2,S4.DKO.1,S8.DKO.2
Mrpl15,3.236356882,3.432401801,3.347611085,3.264084008,3.072982502,3.199818838,3.111358708,3.358781884
Lypla1,5.685048523,5.841980349,5.678884761,5.521603567,5.529046445,5.580858766,5.510727525,5.66938844
Tcea1,5.003388703,5.031810728,4.990240276,4.943125033,4.957357414,5.033931787,4.855873434,5.016175133
Atp6v1h,4.956911033,5.124816997,5.032187604,5.167219711,4.929409498,5.024558811,4.900043793,5.067954302
Rb1cc1,4.113950473,3.883078775,3.928838881,3.860330547,4.118523252,3.891073542,3.857056192,3.810776089
Gm20050,2.581558968,2.476105414,2.501256777,2.040433818,1.813960447,2.695435136,1.68966859,2.662933666
Pcmtd1,4.346007075,4.352710772,4.208233923,4.304773514,4.341653953,4.439352586,4.366938197,4.210631557
Rrs1,4.464525181,4.43219503,4.371151024,4.58928948,4.621052278,4.456121164,4.388219021,4.531790394
Adhfe1,-3.726416942,-2.213353596,-5.175839238,-2.26246472,-2.812714717,-3.800438544,-3.157639672,-4.283964655
Mybl1,0.05800906,-0.173126008,0.379680627,-0.065737529,0.7311892,0.204106058,0.475154529,-0.262992776
Vcpip1,4.580541057,4.379158191,4.517316898,4.588085203,4.749382924,4.531734392,4.606919925,4.171718626
Sgk3,1.157679169,1.673973728,1.168076533,1.879391611,1.864195023,2.008154257,1.755332049,1.656795473
Gm6195,2.158523525,2.304820405,2.257321143,2.773903925,1.640361817,1.911426031,1.268240813,1.791351835
Snhg6,5.135424367,5.201589944,5.287023089,5.027277991,5.211267771,4.80703404,4.895643217,5.385495293
Cops5,5.420300153,5.500901797,5.59371305,5.287220661,5.472824462,5.38641248,5.480267052,5.510157268
Cspp1,2.698234276,2.349641983,2.487178108,2.444938275,2.358936921,2.040618521,2.488961532,2.04577148
Arfgef1,5.241271738,5.186570232,5.278277576,5.319645487,5.426900967,5.331883175,5.480679611,5.276247855
Slco5a1,-4.224635318,-4.427044246,-2.733554754,-1.553485887,-2.130698638,-2.736246399,-2.119559155,-2.318166595
Ncoa2,4.807732304,4.795440578,4.604755596,4.726086861,4.753052609,4.898006385,4.656437947,4.525840284
Tram1,7.123542009,7.126151511,6.63781352,6.69587523,6.667071056,6.789252243,6.538725969,6.528930257
Lactb2,4.47145075,4.337858759,4.255591329,4.040660589,3.517283185,3.548688112,3.803122368,3.59027467
Eya1,-3.505076349,-2.677415592,-2.90591009,-2.726526716,-1.885686988,-3.939358143,-1.677396752,-2.352911779
Msc,-0.087417722,0.880481289,1.530352935,-0.089539357,0.97430548,0.293691242,3.764050896,3.166832807
Trpa1,-2.345787277,-3.094733018,-5.617403265,-3.644524958,-2.719065526,-1.66211322,-2.659928269,-4.24200257
Terf1,4.420565915,3.98470193,3.776745442,4.116533986,4.135744397,4.04412477,3.845295179,3.812956123
Sbspon,-2.401059104,-3.608515519,-2.374559732,-2.244107246,-5.588888263,-2.374559732,-3.3766443,-2.557068726
Rpl7,8.998238758,9.245052581,9.375646955,9.453059063,9.226842136,9.453059063,9.319722979,9.714251548
Rdh10,2.749685656,2.554113522,2.304634196,2.032294621,1.938844787,2.249473759,2.078795925,2.205524337
Gm19806,0.253615499,-0.345032022,-0.911843138,-1.881334881,-1.158075098,-0.144391807,-0.324332517,-1.913927705
Stau2,-1.905450792,-1.966562693,-1.039508337,-1.67979589,-1.302389456,-1.769614246,-0.972069431,-0.642117233
Ube2w,3.142132199,3.461405521,2.991677373,3.165427221,2.961933552,3.188062379,2.980311748,3.200792758
Tceb1,5.468982727,5.560399976,5.406142918,5.246893472,5.134961212,5.314367571,5.049207876,5.505559234
Tmem70,4.144256599,4.230740929,4.271489697,4.396970192,4.398596377,4.335547776,4.20773166,4.339147305
Ly96,2.26256197,2.638196611,2.572878805,2.332252842,1.937654541,2.657979762,1.424339445,2.072424658
Il17a,-4.358247335,-4.882796987,-5.477157924,-4.882796987,2.204637217,2.438201125,-0.854937546,-2.146003371
Mcm3,5.080067787,5.140988478,5.309660453,5.458533114,5.362248311,5.370225461,5.227963074,5.596738774
Paqr8,0.253976837,0.531261315,0.49489229,0.806320477,0.529601016,0.989218453,1.016171508,1.32069726
Tram2,2.271753651,2.635435268,2.063196832,2.066436685,2.732818058,2.717815809,2.188879444,2.229893524
Tmem14a,0.459922036,0.252520545,0.252520545,0.202786609,-0.780353259,0.338404368,0.77616462,0.075523249
Gm4956,-1.795192722,-1.777584905,-3.038175214,-2.349256157,0.156820755,0.754802605,-2.817745489,-2.117384937
Kcnq5,-1.239043028,-0.652892295,-0.368231034,0.223712899,0.202883302,0.002614192,-0.27320268,0.042633549
Ogfrl1,1.542442525,1.858408191,2.063521915,2.340920924,2.26695676,2.420320976,2.695486948,2.306685737
B3gat2,-0.499886506,-0.558021568,-0.627344927,-0.467944808,-0.273141275,-1.849874748,-1.051408488,-1.482438596
Smap1,5.395092261,5.517640462,5.603853346,5.438962006,5.14863837,5.411030132,5.376585843,5.448505949
Sdhaf4,4.219233578,4.215257365,4.18817121,4.103663806,3.646269771,4.086659695,3.743279372,4.17266615
Fam135a,-3.06747791,-3.128589811,-3.021763718,-3.051052317,-2.337153213,-3.042463223,-1.704566337,-1.377098976
LOC100503946,8.012940148,8.252530516,8.407114414,8.543222762,8.060810038,8.259108261,8.366218503,8.619520323
Lmbrd1,3.482975989,3.49394047,3.46313636,3.611185232,3.778775849,3.698669831,3.65138549,3.525280742
Gm19292,3.753777077,3.937446671,3.731851955,3.031252911,3.178992181,2.93686093,2.977932612,3.455645247
Phf3,4.50988326,4.467177438,4.374047455,4.621558244,4.638693347,4.556633916,4.487778448,4.393245464
Ptp4a1,1.114425459,0.852400791,0.678772717,0.692489343,0.680633342,1.003891128,0.440189034,0.616655619
Gm19680,2.259903415,2.324225446,1.878238882,1.366643951,2.400960032,2.307079763,1.856441444,2.140177193
Prim2,3.023790146,3.02118474,3.015762758,3.232028762,2.981108595,2.997221278,2.982901409,3.079782864
1700001G17Rik,-1.906367238,-0.473367315,-1.085120871,-1.128824322,-0.041913678,-1.980388839,-1.128824322,-2.916919294
Rab23,1.662475309,1.42789719,1.763513381,1.782166888,1.576248288,1.547738981,1.931669849,1.896466822
Bag2,1.274250161,1.18698941,2.270137332,1.999444945,1.274250161,1.427683541,2.257491561,2.576584727
Zfp451,3.187110638,3.023495353,3.046135816,3.098269642,3.113100687,3.149227024,3.351100662,3.318196876
Gm15455,2.583402605,2.433155312,2.423412427,2.273715195,2.235119211,2.408565854,2.560043235,2.585499777
Bend6,-0.277815976,-0.46267642,-0.860410853,0.023132288,-0.32069793,0.146047521,-0.406283778,-0.425275489
Dst,-2.189487452,-2.565437944,-2.257358947,-2.673256898,-1.076921615,-2.610452645,-1.060073989,-1.139881816
Ccdc115,4.160129449,4.107775446,4.201914074,4.058551238,4.134765496,4.264145631,4.177623439,4.319372282
Imp4,4.661106475,4.745690454,4.630484738,4.702924926,4.621384684,4.762576532,4.581377005,4.70140165
D1Ertd448e,2.391060729,2.346664273,2.072948341,1.962116867,1.895146776,2.373321923,1.978903931,1.862015312
Ptpn18,6.888701322,6.930729343,6.451401225,6.547472197,6.468844648,6.915417854,5.995242807,6.48209446
Arhgef4,3.404505171,3.226926916,3.039047792,3.020851999,2.398517597,2.894003011,3.026420496,2.8115539
Fam168b,6.201214065,6.117493316,6.257520618,6.235158454,6.243843662,6.218534736,6.28934164,6.218534736
Plekhb2,5.772597977,5.896832324,5.784076233,5.819336994,5.825804471,5.921215728,6.012987205,6.040930818
Hs6st1,3.115775266,3.292236131,3.275615078,3.599736689,3.659668721,3.674376808,3.500682752,3.852482229
Uggt1,5.047270058,5.158618705,5.024164747,5.036081248,4.829232317,4.894230499,4.974452517,5.026808139
Neurl3,5.542359166,5.389329529,5.276530862,5.44369012,5.378640592,5.229520237,5.281897347,5.189007821
Arid5a,4.375681147,4.193426665,4.478826806,4.668271025,4.252242065,4.602310379,4.424468712,4.664594615
Kansl3,4.409255484,4.243246476,4.519018764,4.39551561,4.507758064,4.43678175,4.63620089,4.426762116
Lman2l,2.674421157,2.530502737,2.01572868,2.198758661,2.29587877,2.015946478,2.46057885,2.168237553
Cnnm4,2.457324588,2.420192412,1.905302845,2.245506681,2.040543729,2.156412634,1.962337336,2.065645451
Cnnm3,3.125870803,3.058967601,2.965866828,3.117225309,3.210273062,3.335267239,3.218958218,3.166474965
Ankrd23,2.25662538,1.742072801,2.11313018,1.307742445,2.314749922,2.027416479,2.536697883,1.411574975
Ankrd39,3.092532485,2.929882277,2.939749391,3.012402055,3.054463608,2.988847266,3.427276224,3.034823384
Sema4c,0.28454843,-1.032007305,0.810954195,0.42388118,0.161850281,0.482168241,1.595281987,1.629414697
Gm6428,0.144622408,1.296786979,0.908135262,0.612712717,1.323673379,0.619154005,-0.484184194,0.306272546
Cox5b,4.437595635,4.079080136,4.12488802,4.15301897,3.892831815,3.795842471,3.97371732,3.709708967
Actr1b,5.023980619,4.850671176,5.00836525,4.757123582,5.036711142,4.785858008,5.142068725,4.890272535
Zap70,7.393360841,7.36777376,7.266384394,7.17621881,7.455658816,7.571996785,7.461331656,7.368961726
Tmem131,4.429137343,4.513445738,4.634866963,4.697834783,4.696950254,4.566366436,4.845759603,4.832690134
Vwa3b,-2.519080324,-1.918975396,-0.912572296,-1.005068464,-1.006678625,-1.340487555,-0.780525308,-0.390503506
Inpp4a,3.033061865,2.681507894,2.543410989,2.596818681,2.622906104,2.577807186,2.684429194,2.16618157
Coa5,5.637665603,5.749475,5.715902957,5.587121769,5.624166895,5.689544676,5.627259828,5.763922167
Unc50,5.080494171,5.004070947,4.914132593,4.658104509,4.894302998,4.833609499,4.836552982,4.958661877
Mgat4a,2.71169619,2.478627935,2.216712493,2.640774638,3.085923923,2.986050038,2.433777053,2.125064624
4930594C11Rik,-1.715970541,-2.624462007,-2.716917865,-3.014708222,-1.868865741,-2.247777561,-4.503395028,-3.380314614
2010300C02Rik,0.142882337,0.156644377,-0.587428229,-0.065283772,-0.554751574,-0.630482592,-1.52756866,-1.308125508
Tsga10,0.98461889,0.712049177,0.24064141,-0.732510996,-0.481746584,0.563509336,-0.900433919,-0.625904185
Lipt1,1.232806384,0.930053621,0.900316181,0.421197518,0.646873582,0.636170693,0.932395692,0.39610917
Mitd1,4.803429493,4.762418104,4.907198748,5.060409468,4.99069931,4.776505251,4.843003362,4.402690444
Mrpl30,5.016354999,5.166208255,4.985333605,5.159844607,4.879542243,5.232431545,4.579368694,4.728668043
Txndc9,2.611580537,2.679720746,2.595971079,2.366900885,2.467759276,2.578577381,2.502700962,2.468897206
Eif5b,4.302980186,4.320645915,4.366127376,4.404152271,4.439978583,4.438978064,4.489011606,4.591395801
Rev1,1.73316681,1.256847174,1.601802781,1.502117781,1.747407724,1.522853593,1.699437254,1.291812688
Aff3,2.376156546,2.69259473,4.567198601,4.774137527,3.576510867,3.322346591,4.959839999,5.00114165
Chst10,3.376073313,3.289458229,2.851335578,3.083037229,2.679960855,3.284187961,2.41675195,2.869389153
Pdcl3,4.73320361,4.961460369,4.834705367,4.567810044,4.578087386,4.572347955,4.507928659,4.722128806
Npas2,-4.733350895,-3.88849406,-3.454212267,-5.170224996,-2.470316364,-2.523488224,-2.317421164,-2.97968067
Rpl31,2.11791565,2.322427008,2.481284402,2.029808675,2.147487662,2.414063003,2.340735236,2.407624857
Tbc1d8,1.076929993,1.032483412,1.380719194,1.707309484,2.508151161,1.786429723,2.569303719,2.2047188
NA,1.407853391,0.103277981,-0.040951531,0.154711424,1.484499371,0.444255405,0.545804629,0.362446913
Cnot11,4.489209973,4.524858143,4.567099932,4.382991101,4.549698407,4.578080261,4.418737089,4.516047154
Rnf149,3.853132594,3.942135173,3.904394201,3.85423568,4.146127797,4.1133936,4.131103034,4.190803771
Creg2,-6.666310397,-4.360795256,-5.37485671,-5.642526192,-3.445762737,-4.088460041,-3.956639475,-3.451981866
Map4k4,5.709412455,5.699805203,6.615419671,6.385159329,6.007989568,5.812181626,6.875196646,6.863983388
Gm16894,-0.887029305,-4.406948049,-1.902025653,-1.902025653,-0.15870556,-1.304548042,-0.187385339,-0.384393017
Il1r2,-0.089263114,0.712561095,3.034628229,2.388712655,4.30924236,4.570936791,4.553126302,5.272687738
Il1r1,-3.467128945,-3.241950377,-4.950614625,-3.630560776,1.741018769,1.115976134,-0.657914521,-0.243107901
Il1rl2,2.009509647,1.922150054,1.637020891,1.532184784,2.454769694,1.524991836,1.98423587,1.581655025
Il1rl1,1.229347879,1.702278404,2.586187096,1.955145607,2.370243743,2.346436947,1.907025851,2.273579067
Il18r1,7.458542821,7.377785826,7.673308015,7.481829909,7.719080442,7.067006444,7.458542821,7.224750777
Il18rap,8.149812499,7.92187944,7.527960169,6.909173089,6.456896341,6.896240952,5.782391803,5.654226905
Mfsd9,0.056537761,-0.153901903,-0.646544671,-0.32469359,-0.312236345,-0.086957263,-1.164706379,-0.598155437
Mrps9,4.857309963,4.966269748,5.247564206,4.956130925,4.943501393,5.030705086,5.070368042,5.258908805
Tgfbrap1,3.567125853,3.562951833,3.499444842,3.526445314,3.223542266,3.554056393,3.525210421,3.541766096
AI597479,3.196583378,3.042724885,2.942473559,3.038802374,2.957388238,2.789302435,2.875437795,2.65722035
Fhl2,3.719831058,3.837191752,2.844880001,2.835325071,2.400478766,2.773559501,1.623990941,2.209275438
Gm8210,3.551268928,3.733263956,3.596693387,3.361991378,2.892018336,3.05677622,2.596933987,3.183683715
Nck2,4.371660429,4.266270535,3.95443477,3.93517516,3.810221237,4.096803785,3.675912742,3.596967395
NA,-0.101229222,0.388982594,-0.231791533,0.382045705,0.451892959,0.725220174,-0.881287854,-0.098615598
Uxs1,2.948410318,3.205266881,3.047543247,2.906958939,2.761571817,3.1732801,2.957356042,3.242047651
Tpp2,5.514932838,5.490924645,5.173055459,5.17129022,5.26009915,5.204629865,5.090639181,5.007115689
Tex30,4.049104059,4.059764868,3.79709526,3.535186953,3.64978878,3.823822544,3.625404419,3.922485525
Kdelc1,2.243298914,2.043310717,2.53468638,1.971736199,2.201633749,1.847671298,2.633343917,2.455086906
Bivm,2.119035958,2.133258578,2.273447838,1.942550868,1.850230061,2.240505611,2.115385016,2.197278684
Ercc5,3.15838355,3.10331254,3.086036224,3.022404418,3.022199954,3.037319887,3.198274128,2.990532145
Wdr75,3.381831942,3.361753945,3.490667507,3.737345443,3.640647294,3.497907788,3.607849442,3.657211587
Gm5526,7.538353102,7.758034569,7.253112747,7.23833477,7.040766944,7.209290735,6.811229655,7.069238536
Slc40a1,1.024831828,0.64099996,0.331860631,1.088365252,0.831851084,1.225319782,1.081462376,1.159193303
